estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Fuera de pobreza,Rural,Hombre,Adulto (30-59),I,6589.0,105
Fuera de pobreza,Rural,Hombre,Adulto (30-59),II,43492.0,700
Fuera de pobreza,Rural,Hombre,Adulto (30-59),III,45847.0,667
Fuera de pobreza,Rural,Hombre,Adulto (30-59),IV,59340.0,717
Fuera de pobreza,Rural,Hombre,Adulto (30-59),V,37980.0,479
Fuera de pobreza,Rural,Hombre,Joven (≤29),I,94.0,2
Fuera de pobreza,Rural,Hombre,Joven (≤29),II,1445.0,24
Fuera de pobreza,Rural,Hombre,Joven (≤29),III,3229.0,51
Fuera de pobreza,Rural,Hombre,Joven (≤29),IV,3034.0,44
Fuera de pobreza,Rural,Hombre,Joven (≤29),V,1720.0,22
Fuera de pobreza,Rural,Hombre,Mayor (60+),I,41358.0,832
Fuera de pobreza,Rural,Hombre,Mayor (60+),II,36819.0,708
Fuera de pobreza,Rural,Hombre,Mayor (60+),III,32356.0,607
Fuera de pobreza,Rural,Hombre,Mayor (60+),IV,25677.0,476
Fuera de pobreza,Rural,Hombre,Mayor (60+),V,14885.0,254
Fuera de pobreza,Rural,Mujer,Adulto (30-59),I,7875.0,114
Fuera de pobreza,Rural,Mujer,Adulto (30-59),II,31608.0,543
Fuera de pobreza,Rural,Mujer,Adulto (30-59),III,31711.0,513
Fuera de pobreza,Rural,Mujer,Adulto (30-59),IV,21987.0,371
Fuera de pobreza,Rural,Mujer,Adulto (30-59),V,15844.0,193
Fuera de pobreza,Rural,Mujer,Joven (≤29),I,285.0,4
Fuera de pobreza,Rural,Mujer,Joven (≤29),II,2021.0,31
Fuera de pobreza,Rural,Mujer,Joven (≤29),III,2667.0,47
Fuera de pobreza,Rural,Mujer,Joven (≤29),IV,1513.0,27
Fuera de pobreza,Rural,Mujer,Joven (≤29),V,530.0,14
Fuera de pobreza,Rural,Mujer,Mayor (60+),I,27909.0,584
Fuera de pobreza,Rural,Mujer,Mayor (60+),II,23591.0,492
Fuera de pobreza,Rural,Mujer,Mayor (60+),III,19604.0,383
Fuera de pobreza,Rural,Mujer,Mayor (60+),IV,11061.0,194
Fuera de pobreza,Rural,Mujer,Mayor (60+),V,3435.0,78
Fuera de pobreza,Urbano,Hombre,Adulto (30-59),I,21710.0,241
Fuera de pobreza,Urbano,Hombre,Adulto (30-59),II,183050.0,1903
Fuera de pobreza,Urbano,Hombre,Adulto (30-59),III,311748.0,2961
Fuera de pobreza,Urbano,Hombre,Adulto (30-59),IV,457977.0,3789
Fuera de pobreza,Urbano,Hombre,Adulto (30-59),V,637856.0,4015
Fuera de pobreza,Urbano,Hombre,Joven (≤29),I,469.0,6
Fuera de pobreza,Urbano,Hombre,Joven (≤29),II,14907.0,144
Fuera de pobreza,Urbano,Hombre,Joven (≤29),III,34484.0,317
Fuera de pobreza,Urbano,Hombre,Joven (≤29),IV,57463.0,499
Fuera de pobreza,Urbano,Hombre,Joven (≤29),V,53877.0,376
Fuera de pobreza,Urbano,Hombre,Mayor (60+),I,124489.0,1713
Fuera de pobreza,Urbano,Hombre,Mayor (60+),II,155234.0,2033
Fuera de pobreza,Urbano,Hombre,Mayor (60+),III,187742.0,2304
Fuera de pobreza,Urbano,Hombre,Mayor (60+),IV,173926.0,1978
Fuera de pobreza,Urbano,Hombre,Mayor (60+),V,137138.0,1356
Fuera de pobreza,Urbano,Mujer,Adulto (30-59),I,30463.0,374
