zona,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n
Norte Chico,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),I,363.0,9
Norte Chico,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),II,246.0,5
Norte Chico,Pobreza ingresos y multidim.,Rural,Hombre,Joven (≤29),I,272.0,3
Norte Chico,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),I,744.0,17
Norte Chico,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),II,19.0,1
Norte Chico,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),I,1099.0,22
Norte Chico,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),II,202.0,2
Norte Chico,Pobreza ingresos y multidim.,Rural,Mujer,Joven (≤29),I,39.0,1
Norte Chico,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),I,556.0,8
Norte Chico,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),II,47.0,1
Norte Chico,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),I,3734.0,58
Norte Chico,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),II,579.0,9
Norte Chico,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),III,87.0,1
Norte Chico,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),I,297.0,5
Norte Chico,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),II,232.0,3
Norte Chico,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),III,219.0,1
Norte Chico,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),I,1582.0,29
Norte Chico,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),II,74.0,2
Norte Chico,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),I,6253.0,107
Norte Chico,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),II,1309.0,21
