region,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr,n,region_name,zona
1,Fuera de pobreza,Rural,Hombre,Adulto (30-59),I,3.0,1,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Adulto (30-59),II,390.0,12,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Adulto (30-59),III,504.0,8,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Adulto (30-59),IV,248.0,6,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Adulto (30-59),V,90.0,6,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Joven (≤29),II,25.0,1,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Joven (≤29),IV,43.0,3,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Joven (≤29),V,24.0,1,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Mayor (60+),I,172.0,6,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Mayor (60+),II,255.0,11,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Mayor (60+),III,314.0,6,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Mayor (60+),IV,573.0,12,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Hombre,Mayor (60+),V,24.0,1,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Adulto (30-59),I,98.0,3,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Adulto (30-59),II,178.0,8,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Adulto (30-59),III,503.0,10,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Adulto (30-59),IV,112.0,3,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Joven (≤29),III,44.0,2,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Joven (≤29),IV,2.0,1,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Mayor (60+),I,106.0,6,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Mayor (60+),II,144.0,5,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Mayor (60+),III,127.0,5,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Mayor (60+),IV,5.0,1,Tarapacá,Norte Grande
1,Fuera de pobreza,Rural,Mujer,Mayor (60+),V,14.0,1,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Adulto (30-59),I,460.0,10,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Adulto (30-59),II,3300.0,68,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Adulto (30-59),III,6306.0,132,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Adulto (30-59),IV,10288.0,198,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Adulto (30-59),V,11592.0,197,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Joven (≤29),II,827.0,14,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Joven (≤29),III,725.0,15,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Joven (≤29),IV,1383.0,26,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Joven (≤29),V,1193.0,20,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Mayor (60+),I,1168.0,37,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Mayor (60+),II,2143.0,57,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Mayor (60+),III,3470.0,93,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Mayor (60+),IV,2866.0,76,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Hombre,Mayor (60+),V,2305.0,56,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Adulto (30-59),I,622.0,12,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Adulto (30-59),II,4513.0,121,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Adulto (30-59),III,8120.0,201,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Adulto (30-59),IV,7236.0,178,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Adulto (30-59),V,4957.0,130,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Joven (≤29),II,340.0,8,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Joven (≤29),III,1429.0,30,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Joven (≤29),IV,1060.0,26,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Joven (≤29),V,926.0,23,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Mayor (60+),I,1777.0,60,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Mayor (60+),II,2256.0,74,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Mayor (60+),III,3003.0,90,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Mayor (60+),IV,2538.0,76,Tarapacá,Norte Grande
1,Fuera de pobreza,Urbano,Mujer,Mayor (60+),V,982.0,33,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),I,147.0,3,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),II,127.0,2,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Rural,Hombre,Joven (≤29),I,155.0,1,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Rural,Hombre,Joven (≤29),II,118.0,1,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),I,116.0,7,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),II,17.0,1,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Rural,Mujer,Joven (≤29),I,164.0,2,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),I,26.0,1,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),I,1147.0,27,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),II,830.0,14,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),I,174.0,3,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),II,383.0,6,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),I,504.0,10,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),II,77.0,2,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),I,2405.0,63,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),II,1195.0,33,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),III,14.0,1,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),I,1105.0,11,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),II,162.0,4,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),I,509.0,17,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),II,203.0,6,Tarapacá,Norte Grande
1,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),III,29.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),II,119.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),III,162.0,5,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),IV,33.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Hombre,Mayor (60+),I,41.0,2,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Hombre,Mayor (60+),II,56.0,2,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Hombre,Mayor (60+),III,54.0,2,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Hombre,Mayor (60+),IV,32.0,2,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),I,18.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),II,85.0,3,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),III,172.0,4,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Mujer,Joven (≤29),II,134.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Mujer,Mayor (60+),II,30.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Rural,Mujer,Mayor (60+),III,30.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),I,119.0,2,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),II,894.0,20,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),III,1140.0,22,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),IV,575.0,15,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Adulto (30-59),V,194.0,4,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),I,69.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),II,163.0,3,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),III,137.0,3,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Joven (≤29),IV,229.0,6,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),I,354.0,9,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),II,223.0,7,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),III,227.0,6,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),IV,165.0,5,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Hombre,Mayor (60+),V,104.0,3,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),I,429.0,12,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),II,1748.0,47,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),III,1845.0,43,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),IV,487.0,11,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Adulto (30-59),V,26.0,1,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),II,218.0,4,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Joven (≤29),III,78.0,2,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),I,466.0,14,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),II,695.0,21,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),III,432.0,13,Tarapacá,Norte Grande
1,Pobreza multidimensional,Urbano,Mujer,Mayor (60+),IV,155.0,4,Tarapacá,Norte Grande
1,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),I,34.0,2,Tarapacá,Norte Grande
1,Pobreza por ingresos,Rural,Hombre,Adulto (30-59),II,64.0,3,Tarapacá,Norte Grande
1,Pobreza por ingresos,Rural,Hombre,Mayor (60+),I,296.0,10,Tarapacá,Norte Grande
1,Pobreza por ingresos,Rural,Hombre,Mayor (60+),II,75.0,2,Tarapacá,Norte Grande
1,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),I,429.0,9,Tarapacá,Norte Grande
1,Pobreza por ingresos,Rural,Mujer,Adulto (30-59),II,304.0,5,Tarapacá,Norte Grande
1,Pobreza por ingresos,Rural,Mujer,Mayor (60+),I,47.0,2,Tarapacá,Norte Grande
1,Pobreza por ingresos,Rural,Mujer,Mayor (60+),II,12.0,1,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),I,2040.0,42,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),II,1688.0,32,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Hombre,Adulto (30-59),III,174.0,3,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),I,366.0,7,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Hombre,Joven (≤29),II,416.0,9,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),I,1141.0,33,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),II,174.0,4,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Hombre,Mayor (60+),III,33.0,1,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),I,3664.0,96,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),II,2208.0,50,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Mujer,Adulto (30-59),III,67.0,2,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),I,886.0,17,Tarapacá,Norte Grande
1,Pobreza por ingresos,Urbano,Mujer,Joven (≤29),II,510.0,7,Tarapacá,Norte Grande
