estado_pob,origen_jefe,trifecta,expr
Pobreza ingresos y multidim.,Hogares chilenos,Conectividad digital,2372.0
Pobreza ingresos y multidim.,Hogares chilenos,Déficit cuantitativo,2864.0
Pobreza ingresos y multidim.,Hogares chilenos,Escolaridad,3728.0
Pobreza ingresos y multidim.,Hogares chilenos,Informalidad,1965.0
Pobreza ingresos y multidim.,Hogares chilenos,Otras carencias,1728.0
Pobreza ingresos y multidim.,Hogares inmigrantes,Conectividad digital,2103.0
Pobreza ingresos y multidim.,Hogares inmigrantes,Déficit cuantitativo,4771.0
Pobreza ingresos y multidim.,Hogares inmigrantes,Escolaridad,4423.0
Pobreza ingresos y multidim.,Hogares inmigrantes,Informalidad,1691.0
Pobreza ingresos y multidim.,Hogares inmigrantes,Otras carencias,534.0
Pobreza multidimensional,Hogares chilenos,Conectividad digital,2385.0
Pobreza multidimensional,Hogares chilenos,Déficit cuantitativo,3648.0
Pobreza multidimensional,Hogares chilenos,Escolaridad,9659.0
Pobreza multidimensional,Hogares chilenos,Informalidad,5836.0
Pobreza multidimensional,Hogares chilenos,Otras carencias,5475.0
Pobreza multidimensional,Hogares inmigrantes,Conectividad digital,1295.0
Pobreza multidimensional,Hogares inmigrantes,Déficit cuantitativo,2982.0
Pobreza multidimensional,Hogares inmigrantes,Escolaridad,5185.0
Pobreza multidimensional,Hogares inmigrantes,Informalidad,1357.0
Pobreza multidimensional,Hogares inmigrantes,Otras carencias,656.0
Pobreza por ingresos,Hogares chilenos,Conectividad digital,3224.0
Pobreza por ingresos,Hogares chilenos,Déficit cuantitativo,2719.0
Pobreza por ingresos,Hogares chilenos,Escolaridad,3628.0
Pobreza por ingresos,Hogares chilenos,Informalidad,6515.0
Pobreza por ingresos,Hogares chilenos,Otras carencias,16629.0
Pobreza por ingresos,Hogares chilenos,Sin carencias,3061.0
Pobreza por ingresos,Hogares inmigrantes,Conectividad digital,2417.0
Pobreza por ingresos,Hogares inmigrantes,Déficit cuantitativo,2495.0
Pobreza por ingresos,Hogares inmigrantes,Escolaridad,3036.0
Pobreza por ingresos,Hogares inmigrantes,Informalidad,3986.0
Pobreza por ingresos,Hogares inmigrantes,Otras carencias,4801.0
Pobreza por ingresos,Hogares inmigrantes,Sin carencias,401.0
