origen_jefe,estado_pob,area_f,sexo_jefe,edad_tramo,quintil,expr
Hogares chilenos,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),I,58.0
Hogares chilenos,Pobreza ingresos y multidim.,Rural,Hombre,Adulto (30-59),II,135.0
Hogares chilenos,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),I,100.0
Hogares chilenos,Pobreza ingresos y multidim.,Rural,Hombre,Mayor (60+),II,43.0
Hogares chilenos,Pobreza ingresos y multidim.,Rural,Mujer,Adulto (30-59),I,90.0
Hogares chilenos,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),I,90.0
Hogares chilenos,Pobreza ingresos y multidim.,Rural,Mujer,Mayor (60+),III,17.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),I,1958.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Hombre,Adulto (30-59),II,787.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),I,161.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Hombre,Joven (≤29),II,245.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),I,1019.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Hombre,Mayor (60+),II,77.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),I,3856.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Mujer,Adulto (30-59),II,994.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),I,976.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Mujer,Joven (≤29),II,224.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),I,1559.0
Hogares chilenos,Pobreza ingresos y multidim.,Urbano,Mujer,Mayor (60+),II,268.0
Hogares chilenos,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),I,9.0
Hogares chilenos,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),II,62.0
Hogares chilenos,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),III,134.0
Hogares chilenos,Pobreza multidimensional,Rural,Hombre,Adulto (30-59),IV,302.0
Hogares chilenos,Pobreza multidimensional,Rural,Hombre,Mayor (60+),I,91.0
Hogares chilenos,Pobreza multidimensional,Rural,Hombre,Mayor (60+),II,102.0
Hogares chilenos,Pobreza multidimensional,Rural,Hombre,Mayor (60+),III,75.0
Hogares chilenos,Pobreza multidimensional,Rural,Hombre,Mayor (60+),IV,96.0
Hogares chilenos,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),I,5.0
Hogares chilenos,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),II,37.0
Hogares chilenos,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),III,475.0
Hogares chilenos,Pobreza multidimensional,Rural,Mujer,Adulto (30-59),IV,115.0
Hogares chilenos,Pobreza multidimensional,Rural,Mujer,Mayor (60+),I,56.0
