origen_jefe,area_f,sexo_jefe,edad_tramo,quintil,expr,n,w_Educacion,w_Salud,w_Trabajo y Seg. Social,w_Vivienda y Entorno,w_Redes y Cohesion
Hogares chilenos,Rural,Hombre,Adulto (30-59),I,272.0,12,55.0,9.0,189.0,231.0,8.0
Hogares chilenos,Rural,Hombre,Adulto (30-59),II,922.0,31,345.0,238.0,400.0,924.0,248.0
Hogares chilenos,Rural,Hombre,Adulto (30-59),III,1239.0,29,125.0,143.0,629.0,877.0,120.0
Hogares chilenos,Rural,Hombre,Adulto (30-59),IV,1590.0,30,538.0,285.0,895.0,1575.0,469.0
Hogares chilenos,Rural,Hombre,Adulto (30-59),V,774.0,21,15.0,79.0,283.0,484.0,132.0
Hogares chilenos,Rural,Hombre,Joven (≤29),I,18.0,1,0.0,0.0,0.0,18.0,18.0
Hogares chilenos,Rural,Hombre,Joven (≤29),II,25.0,1,0.0,0.0,0.0,25.0,0.0
Hogares chilenos,Rural,Hombre,Joven (≤29),III,74.0,2,0.0,0.0,26.0,122.0,0.0
Hogares chilenos,Rural,Hombre,Joven (≤29),IV,399.0,4,43.0,85.0,87.0,84.0,41.0
Hogares chilenos,Rural,Hombre,Joven (≤29),V,27.0,2,0.0,0.0,0.0,48.0,0.0
Hogares chilenos,Rural,Hombre,Mayor (60+),I,1012.0,43,595.0,198.0,480.0,1550.0,96.0
Hogares chilenos,Rural,Hombre,Mayor (60+),II,765.0,29,325.0,33.0,464.0,972.0,45.0
Hogares chilenos,Rural,Hombre,Mayor (60+),III,627.0,20,244.0,47.0,592.0,521.0,88.0
Hogares chilenos,Rural,Hombre,Mayor (60+),IV,931.0,31,285.0,0.0,683.0,1005.0,208.0
Hogares chilenos,Rural,Hombre,Mayor (60+),V,296.0,8,20.0,37.0,102.0,256.0,26.0
Hogares chilenos,Rural,Mujer,Adulto (30-59),I,700.0,26,460.0,64.0,343.0,735.0,98.0
Hogares chilenos,Rural,Mujer,Adulto (30-59),II,519.0,20,121.0,6.0,267.0,540.0,20.0
Hogares chilenos,Rural,Mujer,Adulto (30-59),III,986.0,20,545.0,54.0,317.0,1175.0,224.0
Hogares chilenos,Rural,Mujer,Adulto (30-59),IV,364.0,10,0.0,0.0,255.0,496.0,128.0
Hogares chilenos,Rural,Mujer,Adulto (30-59),V,525.0,11,0.0,23.0,93.0,563.0,51.0
Hogares chilenos,Rural,Mujer,Joven (≤29),I,303.0,4,0.0,270.0,148.0,239.0,0.0
Hogares chilenos,Rural,Mujer,Joven (≤29),II,15.0,1,15.0,0.0,0.0,15.0,0.0
Hogares chilenos,Rural,Mujer,Joven (≤29),III,62.0,2,0.0,0.0,22.0,22.0,40.0
Hogares chilenos,Rural,Mujer,Joven (≤29),IV,8.0,1,0.0,0.0,0.0,0.0,0.0
Hogares chilenos,Rural,Mujer,Mayor (60+),I,503.0,26,310.0,22.0,180.0,613.0,134.0
Hogares chilenos,Rural,Mujer,Mayor (60+),II,543.0,20,334.0,100.0,271.0,678.0,68.0
Hogares chilenos,Rural,Mujer,Mayor (60+),III,405.0,19,124.0,200.0,412.0,485.0,88.0
Hogares chilenos,Rural,Mujer,Mayor (60+),IV,170.0,10,9.0,20.0,106.0,105.0,22.0
Hogares chilenos,Rural,Mujer,Mayor (60+),V,83.0,3,75.0,0.0,14.0,130.0,0.0
Hogares chilenos,Urbano,Hombre,Adulto (30-59),I,8564.0,167,2513.0,1110.0,5222.0,4261.0,4508.0
Hogares chilenos,Urbano,Hombre,Adulto (30-59),II,14995.0,274,4646.0,2248.0,8214.0,4679.0,5078.0
Hogares chilenos,Urbano,Hombre,Adulto (30-59),III,21042.0,389,3329.0,2987.0,8679.0,4592.0,8173.0
Hogares chilenos,Urbano,Hombre,Adulto (30-59),IV,30527.0,520,2876.0,3248.0,8097.0,4958.0,8902.0
Hogares chilenos,Urbano,Hombre,Adulto (30-59),V,40525.0,570,900.0,3694.0,4696.0,4417.0,9883.0
Hogares chilenos,Urbano,Hombre,Joven (≤29),I,1122.0,19,527.0,69.0,495.0,783.0,432.0
Hogares chilenos,Urbano,Hombre,Joven (≤29),II,2153.0,42,509.0,252.0,699.0,638.0,639.0
Hogares chilenos,Urbano,Hombre,Joven (≤29),III,2331.0,46,201.0,348.0,752.0,427.0,700.0
Hogares chilenos,Urbano,Hombre,Joven (≤29),IV,2934.0,51,330.0,94.0,787.0,627.0,943.0
Hogares chilenos,Urbano,Hombre,Joven (≤29),V,3621.0,48,151.0,101.0,258.0,518.0,597.0
Hogares chilenos,Urbano,Hombre,Mayor (60+),I,11159.0,282,3503.0,907.0,4590.0,3995.0,4741.0
Hogares chilenos,Urbano,Hombre,Mayor (60+),II,10140.0,257,2808.0,1057.0,6532.0,2645.0,2807.0
Hogares chilenos,Urbano,Hombre,Mayor (60+),III,14615.0,341,3204.0,1713.0,8069.0,2043.0,3672.0
Hogares chilenos,Urbano,Hombre,Mayor (60+),IV,13277.0,280,1796.0,1694.0,7053.0,2368.0,3039.0
Hogares chilenos,Urbano,Hombre,Mayor (60+),V,9017.0,184,646.0,1271.0,4079.0,788.0,1734.0
Hogares chilenos,Urbano,Mujer,Adulto (30-59),I,15092.0,376,4292.0,2079.0,9646.0,5665.0,6616.0
Hogares chilenos,Urbano,Mujer,Adulto (30-59),II,21488.0,510,5644.0,3148.0,10552.0,6141.0,9604.0
Hogares chilenos,Urbano,Mujer,Adulto (30-59),III,23219.0,514,3065.0,3569.0,8984.0,4747.0,8765.0
Hogares chilenos,Urbano,Mujer,Adulto (30-59),IV,21680.0,456,1602.0,2584.0,4955.0,3411.0,5820.0
Hogares chilenos,Urbano,Mujer,Adulto (30-59),V,16706.0,326,470.0,1284.0,2144.0,1465.0,4145.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),I,2757.0,43,1071.0,506.0,1863.0,2615.0,705.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),II,2274.0,45,626.0,470.0,1217.0,1093.0,638.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),III,3115.0,62,547.0,689.0,897.0,806.0,1113.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),IV,2483.0,50,60.0,356.0,660.0,718.0,665.0
Hogares chilenos,Urbano,Mujer,Joven (≤29),V,1763.0,38,52.0,75.0,0.0,193.0,584.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),I,13541.0,409,4928.0,1793.0,6890.0,5670.0,5062.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),II,12729.0,342,4425.0,1509.0,7158.0,3183.0,4314.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),III,12639.0,331,3575.0,1310.0,6808.0,2482.0,3825.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),IV,10693.0,262,2031.0,1021.0,5101.0,1326.0,2807.0
Hogares chilenos,Urbano,Mujer,Mayor (60+),V,4065.0,108,180.0,398.0,1393.0,325.0,1122.0
Hogares inmigrantes,Rural,Hombre,Adulto (30-59),I,1050.0,19,724.0,399.0,532.0,2105.0,373.0
Hogares inmigrantes,Rural,Hombre,Adulto (30-59),II,678.0,18,419.0,150.0,653.0,955.0,299.0
Hogares inmigrantes,Rural,Hombre,Adulto (30-59),III,674.0,17,297.0,86.0,626.0,748.0,209.0
