comuna_norm,Comuna,pct_pobreza,pobre_pond,total_pond,n_sample,n_sample_poor,lisa_cat,lisa_p_value,moran_quadrant
CAMINA,Camiña,34.19023136246786,266.0,778.0,25.0,8.0,No significativo,0.254,1.0
COLCHANE,Colchane,16.293929712460063,102.0,626.0,28.0,6.0,Alto-Alto,0.011,1.0
PUTRE,Putre,26.27484874675886,304.0,1157.0,36.0,7.0,Alto-Alto,0.019,1.0
MARIA ELENA,María Elena,3.969392635102822,83.0,2091.0,39.0,2.0,No significativo,0.052,3.0
CALAMA,Calama,4.28364553650675,2751.0,64221.0,1023.0,39.0,Bajo-Bajo,0.037,3.0
POZO ALMONTE,Pozo Almonte,5.396930186499422,327.0,6059.0,96.0,4.0,No significativo,0.455,3.0
HUARA,Huara,9.326788218793828,133.0,1426.0,46.0,4.0,Bajo-Alto,0.046,2.0
CAMARONES,Camarones,10.86261980830671,102.0,939.0,19.0,2.0,Alto-Alto,0.027,1.0
ARICA,Arica,5.3329334133173365,4445.0,83350.0,2713.0,115.0,Bajo-Alto,0.003,2.0
TOCOPILLA,Tocopilla,5.869639403935843,516.0,8791.0,152.0,12.0,No significativo,0.097,3.0
ANTOFAGASTA,Antofagasta,2.8377243117433997,4121.0,145222.0,2009.0,64.0,Bajo-Bajo,0.03,3.0
MEJILLONES,Mejillones,7.960576194086428,420.0,5276.0,96.0,9.0,Bajo-Bajo,0.021,3.0
TALTAL,Taltal,1.4276582143618155,67.0,4693.0,72.0,1.0,Bajo-Bajo,0.029,3.0
ALTO HOSPICIO,Alto Hospicio,10.118850324352477,4274.0,42238.0,896.0,75.0,No significativo,0.225,1.0
SIERRA GORDA,Sierra Gorda,0.0,0.0,601.0,37.0,0.0,Bajo-Bajo,0.044,3.0
IQUIQUE,Iquique,3.9760745878701877,2998.0,75401.0,1926.0,81.0,No significativo,0.404,3.0
GENERAL LAGOS,General Lagos,22.22222222222222,66.0,297.0,9.0,2.0,Alto-Alto,0.013,1.0
SAN PEDRO DE ATACAMA,San Pedro de Atacama,6.056616194865043,276.0,4557.0,56.0,3.0,Bajo-Bajo,0.004,3.0
PICA,Pica,13.4394341290893,304.0,2262.0,60.0,8.0,No significativo,0.449,1.0
OLLAGUE,Ollagüe,,,,,,Sin datos,,
