region,region_name,zona,pct_pob_ingresos,pct_pob_multidimensional,pct_pob_ambas,predominante_tipo,predominante_pct,n_sample_tot,n_expanded_tot,n_sample_poor,n_expanded_poor,diff_ingresos,diff_multi,diff_ambas,cat_sobrerep,val_sobrerep
1,Tarapacá,Norte Grande,42.69790239274797,31.985875408453673,25.316222198798354,Pobreza por ingresos,42.69790239274797,3093,129731,913,37948,-5.452097607252028,-1.0041245915463293,6.456222198798354,Pobreza ingresos y multidim.,6.456222198798354
2,Antofagasta,Norte Grande,44.525102615117135,34.48764137584915,20.987256009033715,Pobreza por ingresos,44.525102615117135,3505,235551,891,55791,-3.624897384882864,1.497641375849149,2.127256009033715,Pobreza ingresos y multidim.,2.127256009033715
3,Atacama,Norte Chico,46.30014173176439,34.63199182570289,19.067866442532715,Pobreza por ingresos,46.30014173176439,3257,110514,972,30339,-1.8498582682356073,1.6419918257028883,0.20786644253271547,Pobreza multidimensional,1.6419918257028883
4,Coquimbo,Norte Chico,53.2518672536561,27.117285599786268,19.63084714655763,Pobreza por ingresos,53.2518672536561,3638,308690,1095,86089,5.101867253656103,-5.872714400213734,0.7708471465576316,Pobreza por ingresos,5.101867253656103
5,Valparaíso,Zona Central,51.7095807418388,29.357739035158392,18.932680223002805,Pobreza por ingresos,51.7095807418388,8415,736648,2197,186186,3.5595807418388006,-3.6322609648416098,0.07268022300280563,Pobreza por ingresos,3.5595807418388006
6,O'Higgins,Zona Central,48.68338846953512,32.304351833833486,19.0122596966314,Pobreza por ingresos,48.68338846953512,5324,370065,1459,97637,0.5333884695351188,-0.6856481661665157,0.1522596966314005,Pobreza por ingresos,0.5333884695351188
7,Maule,Zona Central,64.30280090840273,19.959121877365632,15.738077214231645,Pobreza por ingresos,64.30280090840273,5578,439872,1766,132100,16.15280090840273,-13.03087812263437,-3.121922785768355,Pobreza por ingresos,16.15280090840273
8,Biobío,Zona Sur,53.241032897965944,27.669095290000573,19.08987181203348,Pobreza por ingresos,53.241032897965944,8124,604105,2263,156879,5.091032897965945,-5.320904709999429,0.22987181203347973,Pobreza por ingresos,5.091032897965945
9,La Araucanía,Zona Sur,64.48287251108805,15.810292221068856,19.7068352678431,Pobreza por ingresos,64.48287251108805,5458,383022,1987,127164,16.33287251108805,-17.179707778931146,0.846835267843101,Pobreza por ingresos,16.33287251108805
10,Los Lagos,Zona Sur,49.880021857404195,31.657599011665198,18.462379130930604,Pobreza por ingresos,49.880021857404195,4280,339814,1181,84182,1.7300218574041963,-1.332400988334804,-0.39762086906939587,Pobreza por ingresos,1.7300218574041963
11,Aysén,Zona Austral,56.0411007440652,26.502893586866662,17.456005669068148,Pobreza por ingresos,56.0411007440652,1753,44166,353,8467,7.891100744065199,-6.48710641313334,-1.4039943309318517,Pobreza por ingresos,7.891100744065199
12,Magallanes,Zona Austral,69.54507160909856,21.872367312552655,8.582561078348778,Pobreza por ingresos,69.54507160909856,2354,71086,330,9496,21.395071609098558,-11.117632687447347,-10.277438921651221,Pobreza por ingresos,21.395071609098558
13,Metropolitana,Zona Central,37.131624497390234,43.983516934054315,18.88485856855545,Pobreza multidimensional,43.983516934054315,14151,2940786,3522,670749,-11.018375502609764,10.993516934054313,0.024858568555451654,Pobreza multidimensional,10.993516934054313
14,Los Ríos,Zona Sur,59.72948981498786,21.22266866006354,19.04784152494861,Pobreza por ingresos,59.72948981498786,3433,151648,1041,42808,11.57948981498786,-11.767331339936462,0.18784152494860962,Pobreza por ingresos,11.57948981498786
15,Arica y Parinacota,Norte Grande,49.57393483709273,29.665831244778612,20.760233918128655,Pobreza por ingresos,49.57393483709273,2795,85845,812,23940,1.4239348370927303,-3.3241687552213897,1.9002339181286558,Pobreza ingresos y multidim.,1.9002339181286558
16,Ñuble,Zona Sur,60.327679894615514,22.75152313518854,16.92079697019595,Pobreza por ingresos,60.327679894615514,3496,191628,1164,60730,12.177679894615515,-10.238476864811464,-1.9392030298040481,Pobreza por ingresos,12.177679894615515
